diff1,diff2,diff3
-0.190443905629662,-0.203190989126192,0
-0.0748202901245417,-0.0454703888976985,0
-0.0258615851201687,-0.100808692846317,-0.134172116137432
-0.0282009711172556,0.0694497377105089,-0.167100446538273
-0.016342206067364,-0.114092560199405,-0.110518780137463
-0.00832971447703251,-0.0723371976996847,-0.0699970663580916
-0.00674553915165527,0.0605209971392081,-0.0591892844449119
0.000732164327029466,-0.0338704735249812,-0.0242710025332825
0.00122803816446933,0.0764143114163391,-0.0206594621309037
-0.00313473332638847,0.0373297662504494,-0.0344525681889875
-0.00122752067199756,0.0371771217176153,-0.0244479233897448
-0.00167232628582384,-0.0189037747464218,-0.0233291560498315
0.00309720478375924,0.0209737283083479,-0.00630341764183412
-0.00121336825786135,0.0220819258424445,-0.0180951241568535
0.00220782736542599,0.0414404228774037,-0.00669118857839923
-0.00015814399648964,-0.0140028664096042,-0.0122352935401815
0.00141045835339625,0.00438135513401405,-0.00695918237198562
0.00277195233995135,0.0396169874561453,-0.00277347806018569
-0.000101569844834684,0.0165930106108645,-0.00927395290231819
0.00194601556938467,0.00041992130808266,-0.00362395378673352
0.00187239029214277,-0.0223222627803686,-0.00332875805407701
0.00243686979542612,0.0330446620293489,-0.00165334851995541
-0.000774937385696547,0.0086775789157536,-0.00829438947557487
-0.00065804391298005,0.00781990881182948,-0.0074342922454515
0.000527758551428711,-0.00866945340176506,-0.00445033394811045
-0.00105229065150057,0.0034217242564033,-0.0072710060109662
0.00477623191589886,0.0453283744423072,0.00473606406943472
-0.00112633914870236,-0.0206174573921555,-0.00675495583798147
