-0.32448,0.36123,0.57273,0.68521,0.76797,0.82547,0.84146,0.855
0.34997,0.65658,0.7999,0.84113,0.84203,0.84992,0.8539,0.8499
0.69179,0.84958,0.8477,0.85589,0.85663,0.85003,0.84567,0.83643
0.85646,0.86233,0.8683,0.85643,0.84832,0.84106,0.83423,0.82325
0.8755,0.87041,0.85865,0.84371,0.83381,0.82488,0.81673,0.80941
0.87424,0.85412,0.8401,0.82581,0.81869,0.81044,0.80333,0.79611
0.84956,0.8311,0.81834,0.80971,0.80202,0.79537,0.78831,0.78477
0.82116,0.80969,0.80083,0.79307,0.7871,0.78266,0.77667,0.77437
0.79553,0.78765,0.78186,0.77737,0.77273,0.76899,0.76686,0.76473
0.77088,0.76776,0.76534,0.76205,0.75913,0.75689,0.7556,0.75606
